5,12,-0.75,2.75,11,-0.75,-0.75
10,17,-0.5,2.75,10,-1.5,2.25
15,1,1.5,3.25,10,0.5,-0.25
8,13,-0.25,2.0,11,2.75,1.0
9,7,0.25,2.5,10,1.25,-1.5
5,6,-1.25,3.0,11,-1.25,1.0
19,15,0.75,2.5,10.5,-1.25,1.5
1,10,-1.25,3.5,10.5,-0.25,-0.5
17,13,0.25,2.0,10,0.25,0.0
8,4,0.75,2.75,10,-1.25,3.25
11,9,-0.25,2.5,10.5,-0.25,-0.5
16,15,0.0,2.5,10,1.0,2.5
20,10,-0.25,2.75,10.5,-0.25,-2.75
3,12,-3,4.5,11.5,0.0,-1.5
17,3,0.25,2.5,10.5,-8.75,6.5
15,5,0.25,2.5,11,1.25,-1.5
14,1,0.5,2.5,10.5,0.5,-0.5
6,4,2,3.25,10.5,0.0,-1.25
15,14,-0.25,2.75,10.5,0.75,0.25
4,7,-1.0,2.75,10.5,0.0,0.25
9,20,-1.0,3.0,10.5,-1.0,-1.0
5,16,-1.5,3.0,10.5,-0.5,-2.0
10,19,-0.75,3.25,11,-0.75,-3.25
11,17,-0.5,2.25,10.5,-0.5,-0.25
18,8,-0.75,3.0,10.5,1.25,-1.0
19,11,0.5,2.25,10,1.5,-1.25
2,15,-2.25,3.5,11,-4.25,-1.5
16,9,0.75,3.0,10,-2.25,2.0
6,10,-1.5,3.75,11,-0.5,-2.75
5,9,-0.5,2.75,10,-1.5,0.25
20,12,-0.25,2.25,10,-0.25,-2.25
17,18,0.0,3.0,10.5,-4.0,3.0
11,15,0.25,2.25,10,1.25,-1.25
1,3,-1.0,3.0,10,0.0,0.0
16,6,0.75,2.75,10.5,3.75,0.25
11,8,-0.25,3.0,10,-0.25,-1.0
5,19,-1.0,2.5,10.5,4.0,2.5
14,2,1.5,3.0,10,-0.5,1.0
7,13,-1.5,3.0,10.5,-0.5,0.0
11,15,-1.25,3.0,10,0.75,-1.0
12,16,-0.5,2.75,11,1.5,-0.75
18,9,-0.25,2.5,10,-0.25,1.5
6,5,-0.25,3.25,10,-0.25,0.75
19,20,-0.5,2.5,10.5,1.5,-0.5
